gameid,date,home,away,season,week
2017090700,2017-09-07,NE,KC,2017,1
2017091000,2017-09-10,BUF,NYJ,2017,1
2017091008,2017-09-10,WAS,PHI,2017,1
2017091007,2017-09-10,TEN,OAK,2017,1
2017091005,2017-09-10,HOU,JAX,2017,1
2017091004,2017-09-10,DET,ARI,2017,1
2017091003,2017-09-10,CLE,PIT,2017,1
2017091001,2017-09-10,CHI,ATL,2017,1
2017091002,2017-09-10,CIN,BAL,2017,1
2017091009,2017-09-10,LA,IND,2017,1
2017091011,2017-09-10,SF,CAR,2017,1
2017091010,2017-09-10,GB,SEA,2017,1
2017091012,2017-09-10,DAL,NYG,2017,1
2017091100,2017-09-11,MIN,NO,2017,1
2017091101,2017-09-11,DEN,LAC,2017,1
2017091400,2017-09-14,CIN,HOU,2017,2
2017091700,2017-09-17,BAL,CLE,2017,2
2017091707,2017-09-17,TB,CHI,2017,2
2017091706,2017-09-17,PIT,MIN,2017,2
2017091705,2017-09-17,NO,NE,2017,2
2017091704,2017-09-17,KC,PHI,2017,2
2017091703,2017-09-17,JAX,TEN,2017,2
2017091702,2017-09-17,IND,ARI,2017,2
2017091701,2017-09-17,CAR,BUF,2017,2
2017091709,2017-09-17,OAK,NYJ,2017,2
2017091708,2017-09-17,LAC,MIA,2017,2
2017091712,2017-09-17,SEA,SF,2017,2
2017091711,2017-09-17,LA,WAS,2017,2
2017091710,2017-09-17,DEN,DAL,2017,2
2017091713,2017-09-17,ATL,GB,2017,2
2017091800,2017-09-18,NYG,DET,2017,2
2017092100,2017-09-21,SF,LA,2017,3
2017092400,2017-09-24,JAX,BAL,2017,3
2017092405,2017-09-24,IND,CLE,2017,3
2017092409,2017-09-24,PHI,NYG,2017,3
2017092408,2017-09-24,NYJ,MIA,2017,3
2017092401,2017-09-24,BUF,DEN,2017,3
2017092402,2017-09-24,CAR,NO,2017,3
2017092403,2017-09-24,CHI,PIT,2017,3
2017092404,2017-09-24,DET,ATL,2017,3
2017092406,2017-09-24,MIN,TB,2017,3
2017092407,2017-09-24,NE,HOU,2017,3
2017092410,2017-09-24,TEN,SEA,2017,3
2017092411,2017-09-24,GB,CIN,2017,3
2017092412,2017-09-24,LAC,KC,2017,3
2017092413,2017-09-24,WAS,OAK,2017,3
2017092500,2017-09-25,ARI,DAL,2017,3
2017092800,2017-09-28,GB,CHI,2017,4
2017100100,2017-10-01,MIA,NO,2017,4
2017100105,2017-10-01,HOU,TEN,2017,4
2017100108,2017-10-01,NYJ,JAX,2017,4
2017100107,2017-10-01,NE,CAR,2017,4
2017100106,2017-10-01,MIN,DET,2017,4
2017100101,2017-10-01,ATL,BUF,2017,4
2017100102,2017-10-01,BAL,PIT,2017,4
2017100103,2017-10-01,CLE,CIN,2017,4
2017100104,2017-10-01,DAL,LA,2017,4
2017100110,2017-10-01,LAC,PHI,2017,4
2017100111,2017-10-01,TB,NYG,2017,4
2017100109,2017-10-01,ARI,SF,2017,4
2017100112,2017-10-01,DEN,OAK,2017,4
2017100113,2017-10-01,SEA,IND,2017,4
2017100200,2017-10-02,KC,WAS,2017,4
2017100500,2017-10-05,TB,NE,2017,5
2017100801,2017-10-08,CLE,NYJ,2017,5
2017100802,2017-10-08,DET,CAR,2017,5
2017100803,2017-10-08,IND,SF,2017,5
2017100804,2017-10-08,MIA,TEN,2017,5
2017100800,2017-10-08,CIN,BUF,2017,5
2017100805,2017-10-08,NYG,LAC,2017,5
2017100807,2017-10-08,PIT,JAX,2017,5
2017100806,2017-10-08,PHI,ARI,2017,5
2017100808,2017-10-08,LA,SEA,2017,5
2017100809,2017-10-08,OAK,BAL,2017,5
2017100810,2017-10-08,DAL,GB,2017,5
2017100811,2017-10-08,HOU,KC,2017,5
2017100900,2017-10-09,CHI,MIN,2017,5
2017101200,2017-10-12,CAR,PHI,2017,6
2017101501,2017-10-15,BAL,CHI,2017,6
2017101502,2017-10-15,HOU,CLE,2017,6
2017101503,2017-10-15,MIN,GB,2017,6
2017101504,2017-10-15,NO,DET,2017,6
2017101500,2017-10-15,ATL,MIA,2017,6
2017101505,2017-10-15,NYJ,NE,2017,6
2017101506,2017-10-15,WAS,SF,2017,6
2017101507,2017-10-15,ARI,TB,2017,6
2017101508,2017-10-15,JAX,LA,2017,6
2017101509,2017-10-15,KC,PIT,2017,6
2017101510,2017-10-15,OAK,LAC,2017,6
2017101511,2017-10-15,DEN,NYG,2017,6
2017101600,2017-10-16,TEN,IND,2017,6
2017101900,2017-10-19,OAK,KC,2017,7
2017102200,2017-10-22,BUF,TB,2017,7
2017102207,2017-10-22,MIN,BAL,2017,7
2017102206,2017-10-22,MIA,NYJ,2017,7
2017102205,2017-10-22,LA,ARI,2017,7
2017102204,2017-10-22,IND,JAX,2017,7
2017102203,2017-10-22,GB,NO,2017,7
2017102201,2017-10-22,CHI,CAR,2017,7
2017102202,2017-10-22,CLE,TEN,2017,7
2017102209,2017-10-22,SF,DAL,2017,7
2017102210,2017-10-22,LAC,DEN,2017,7
2017102208,2017-10-22,PIT,CIN,2017,7
2017102211,2017-10-22,NYG,SEA,2017,7
2017102212,2017-10-22,NE,ATL,2017,7
2017102300,2017-10-23,PHI,WAS,2017,7
2017102600,2017-10-26,BAL,MIA,2017,8
2017102900,2017-10-29,CLE,MIN,2017,8
2017102905,2017-10-29,NYJ,ATL,2017,8
2017102907,2017-10-29,TB,CAR,2017,8
2017102906,2017-10-29,PHI,SF,2017,8
2017102904,2017-10-29,NO,CHI,2017,8
2017102903,2017-10-29,NE,LAC,2017,8
2017102901,2017-10-29,BUF,OAK,2017,8
2017102902,2017-10-29,CIN,IND,2017,8
2017102908,2017-10-29,SEA,HOU,2017,8
2017102909,2017-10-29,WAS,DAL,2017,8
2017102910,2017-10-29,DET,PIT,2017,8
2017103000,2017-10-30,KC,DEN,2017,8
2017110200,2017-11-02,NYJ,BUF,2017,9
2017110501,2017-11-05,HOU,IND,2017,9
2017110502,2017-11-05,JAX,CIN,2017,9
2017110503,2017-11-05,NO,TB,2017,9
2017110504,2017-11-05,NYG,LA,2017,9
2017110500,2017-11-05,CAR,ATL,2017,9
2017110505,2017-11-05,PHI,DEN,2017,9
2017110506,2017-11-05,TEN,BAL,2017,9
2017110507,2017-11-05,SF,ARI,2017,9
2017110508,2017-11-05,SEA,WAS,2017,9
2017110509,2017-11-05,DAL,KC,2017,9
2017110510,2017-11-05,MIA,OAK,2017,9
2017110600,2017-11-06,GB,DET,2017,9
2017110900,2017-11-09,ARI,SEA,2017,10
2017111201,2017-11-12,CHI,GB,2017,10
2017111202,2017-11-12,DET,CLE,2017,10
2017111203,2017-11-12,IND,PIT,2017,10
2017111204,2017-11-12,JAX,LAC,2017,10
2017111200,2017-11-12,BUF,NO,2017,10
2017111205,2017-11-12,TB,NYJ,2017,10
2017111207,2017-11-12,WAS,MIN,2017,10
2017111206,2017-11-12,TEN,CIN,2017,10
2017111208,2017-11-12,LA,HOU,2017,10
2017111209,2017-11-12,ATL,DAL,2017,10
2017111210,2017-11-12,SF,NYG,2017,10
2017111211,2017-11-12,DEN,NE,2017,10
2017111300,2017-11-13,CAR,MIA,2017,10
2017111600,2017-11-16,PIT,TEN,2017,11
2017111900,2017-11-19,CHI,DET,2017,11
2017111901,2017-11-19,CLE,JAX,2017,11
2017111902,2017-11-19,GB,BAL,2017,11
2017111903,2017-11-19,HOU,ARI,2017,11
2017111911,2017-11-19,MIA,TB,2017,11
2017111904,2017-11-19,MIN,LA,2017,11
2017111906,2017-11-19,NYG,KC,2017,11
2017111905,2017-11-19,NO,WAS,2017,11
2017111907,2017-11-19,LAC,BUF,2017,11
2017111908,2017-11-19,DEN,CIN,2017,11
2017111909,2017-11-19,OAK,NE,2017,11
2017111910,2017-11-19,DAL,PHI,2017,11
2017112000,2017-11-20,SEA,ATL,2017,11
2017112300,2017-11-23,DET,MIN,2017,12
2017112301,2017-11-23,DAL,LAC,2017,12
2017112302,2017-11-23,WAS,NYG,2017,12
2017112603,2017-11-26,KC,BUF,2017,12
2017112602,2017-11-26,IND,TEN,2017,12
2017112601,2017-11-26,CIN,CLE,2017,12
2017112600,2017-11-26,ATL,TB,2017,12
2017112604,2017-11-26,NE,MIA,2017,12
2017112606,2017-11-26,PHI,CHI,2017,12
2017112605,2017-11-26,NYJ,CAR,2017,12
2017112608,2017-11-26,SF,SEA,2017,12
2017112607,2017-11-26,LA,NO,2017,12
2017112609,2017-11-26,ARI,JAX,2017,12
2017112610,2017-11-26,OAK,DEN,2017,12
2017112611,2017-11-26,PIT,GB,2017,12
2017112700,2017-11-27,BAL,HOU,2017,12
2017113000,2017-11-30,DAL,WAS,2017,13
2017120300,2017-12-03,ATL,MIN,2017,13
2017120309,2017-12-03,TEN,HOU,2017,13
2017120308,2017-12-03,NYJ,KC,2017,13
2017120306,2017-12-03,MIA,DEN,2017,13
2017120305,2017-12-03,JAX,IND,2017,13
2017120304,2017-12-03,GB,TB,2017,13
2017120301,2017-12-03,BAL,DET,2017,13
2017120302,2017-12-03,BUF,NE,2017,13
2017120303,2017-12-03,CHI,SF,2017,13
2017120310,2017-12-03,LAC,CLE,2017,13
2017120312,2017-12-03,OAK,NYG,2017,13
2017120307,2017-12-03,NO,CAR,2017,13
2017120311,2017-12-03,ARI,LA,2017,13
2017120313,2017-12-03,SEA,PHI,2017,13
2017120400,2017-12-04,CIN,PIT,2017,13
2017120700,2017-12-07,ATL,NO,2017,14
2017121000,2017-12-10,BUF,IND,2017,14
2017121012,2017-12-10,NYG,DAL,2017,14
2017121007,2017-12-10,TB,DET,2017,14
2017121006,2017-12-10,KC,OAK,2017,14
2017121004,2017-12-10,HOU,SF,2017,14
2017121003,2017-12-10,CLE,GB,2017,14
2017121002,2017-12-10,CIN,CHI,2017,14
2017121001,2017-12-10,CAR,MIN,2017,14
2017121010,2017-12-10,LAC,WAS,2017,14
2017121009,2017-12-10,DEN,NYJ,2017,14
2017121008,2017-12-10,ARI,TEN,2017,14
2017121011,2017-12-10,LA,PHI,2017,14
2017121005,2017-12-10,JAX,SEA,2017,14
2017121013,2017-12-10,PIT,BAL,2017,14
2017121100,2017-12-11,MIA,NE,2017,14
2017121400,2017-12-14,IND,DEN,2017,15
2017121600,2017-12-16,DET,CHI,2017,15
2017121601,2017-12-16,KC,LAC,2017,15
2017121703,2017-12-17,JAX,HOU,2017,15
2017121702,2017-12-17,CLE,BAL,2017,15
2017121701,2017-12-17,CAR,GB,2017,15
2017121700,2017-12-17,BUF,MIA,2017,15
2017121704,2017-12-17,MIN,CIN,2017,15
2017121707,2017-12-17,WAS,ARI,2017,15
2017121706,2017-12-17,NYG,PHI,2017,15
2017121705,2017-12-17,NO,NYJ,2017,15
2017121708,2017-12-17,SEA,LA,2017,15
2017121710,2017-12-17,SF,TEN,2017,15
2017121709,2017-12-17,PIT,NE,2017,15
2017121711,2017-12-17,OAK,DAL,2017,15
2017122300,2017-12-23,BAL,IND,2017,16
2017122301,2017-12-23,GB,MIN,2017,16
2017122402,2017-12-24,CIN,DET,2017,16
2017122403,2017-12-24,KC,MIA,2017,16
2017122404,2017-12-24,NE,BUF,2017,16
2017122401,2017-12-24,CHI,CLE,2017,16
2017122400,2017-12-24,CAR,TB,2017,16
2017122405,2017-12-24,NO,ATL,2017,16
2017122408,2017-12-24,WAS,DEN,2017,16
2017122407,2017-12-24,TEN,LA,2017,16
2017122406,2017-12-24,NYJ,LAC,2017,16
2017122409,2017-12-24,SF,JAX,2017,16
2017122411,2017-12-24,DAL,SEA,2017,16
2017122410,2017-12-24,ARI,NYG,2017,16
2017122500,2017-12-25,HOU,PIT,2017,16
2017122501,2017-12-25,PHI,OAK,2017,16
2017123107,2017-12-31,NYG,WAS,2017,17
2017123106,2017-12-31,NE,NYJ,2017,17
2017123105,2017-12-31,MIN,CHI,2017,17
2017123102,2017-12-31,DET,GB,2017,17
2017123103,2017-12-31,IND,HOU,2017,17
2017123109,2017-12-31,PIT,CLE,2017,17
2017123108,2017-12-31,PHI,DAL,2017,17
2017123114,2017-12-31,LA,SF,2017,17
2017123113,2017-12-31,LAC,OAK,2017,17
2017123112,2017-12-31,DEN,KC,2017,17
2017123111,2017-12-31,TEN,JAX,2017,17
2017123110,2017-12-31,TB,NO,2017,17
2017123104,2017-12-31,MIA,BUF,2017,17
2017123115,2017-12-31,SEA,ARI,2017,17
2017123100,2017-12-31,ATL,CAR,2017,17
2017123101,2017-12-31,BAL,CIN,2017,17
