gameid,player_id,carries,rush_yards,rush_fumbles,rush_tds,targets,receptions,rec_yards,raw_yac,rec_fumbles,rec_tds,ac_tds,rec_raw_airyards,caught_airyards,attempts,completions,pass_yards,pass_raw_airyards,comp_airyards,timeshit,interceptions,pass_tds,air_tds,season,team,pos,player_name
2017090700,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,267.0,567.0,155.0,3.0,0.0,0.0,0.0,2017,NE,QB,T.Brady
2017091705,00-0019596,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,30.0,447.0,253.0,191.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017092407,00-0019596,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,25.0,378.0,415.0,271.0,4.0,0.0,5.0,3.0,2017,NE,QB,T.Brady
2017100107,00-0019596,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,32.0,310.0,341.0,175.0,4.0,0.0,2.0,2.0,2017,NE,QB,T.Brady
2017100500,00-0019596,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,30.0,303.0,248.0,173.0,3.0,1.0,1.0,1.0,2017,NE,QB,T.Brady
2017101505,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,20.0,257.0,480.0,185.0,4.0,1.0,2.0,1.0,2017,NE,QB,T.Brady
2017102212,00-0019596,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,249.0,218.0,135.0,0.0,0.0,2.0,1.0,2017,NE,QB,T.Brady
2017102903,00-0019596,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,308.0,388.0,152.0,2.0,0.0,1.0,1.0,2017,NE,QB,T.Brady
2017111211,00-0019596,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,25.0,266.0,309.0,160.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017111909,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,339.0,288.0,206.0,3.0,0.0,3.0,1.0,2017,NE,QB,T.Brady
2017112604,00-0019596,1.0,14.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,18.0,227.0,226.0,135.0,7.0,1.0,4.0,3.0,2017,NE,QB,T.Brady
2017120302,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,258.0,244.0,170.0,2.0,1.0,0.0,0.0,2017,NE,QB,T.Brady
2017121100,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,24.0,233.0,386.0,101.0,4.0,2.0,1.0,0.0,2017,NE,QB,T.Brady
2017121709,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,298.0,352.0,226.0,4.0,1.0,1.0,1.0,2017,NE,QB,T.Brady
2017122404,00-0019596,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,21.0,224.0,216.0,106.0,0.0,1.0,3.0,1.0,2017,NE,QB,T.Brady
2017123106,00-0019596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,18.0,190.0,334.0,92.0,3.0,0.0,2.0,1.0,2017,NE,QB,T.Brady
2017090700,00-0028087,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017091705,00-0028087,4.0,14.0,0.0,0.0,1.0,1.0,11.0,5.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017092407,00-0028087,2.0,5.0,0.0,0.0,3.0,3.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017100107,00-0028087,4.0,18.0,0.0,1.0,1.0,1.0,9.0,13.0,0.0,0.0,0.0,-4.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017100500,00-0028087,7.0,53.0,0.0,0.0,2.0,2.0,10.0,6.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017101505,00-0028087,11.0,52.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017102212,00-0028087,13.0,76.0,0.0,0.0,1.0,1.0,6.0,12.0,0.0,0.0,0.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017102903,00-0028087,15.0,44.0,0.0,0.0,2.0,2.0,10.0,16.0,0.0,0.0,0.0,-6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017111211,00-0028087,14.0,55.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017111909,00-0028087,10.0,60.0,0.0,0.0,4.0,4.0,28.0,25.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017112604,00-0028087,15.0,112.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017120302,00-0028087,15.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017121100,00-0028087,5.0,17.0,0.0,0.0,5.0,5.0,50.0,42.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017121709,00-0028087,13.0,67.0,0.0,1.0,2.0,1.0,13.0,11.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017122404,00-0028087,24.0,128.0,0.0,1.0,5.0,5.0,24.0,25.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017123106,00-0028087,26.0,93.0,0.0,1.0,7.0,6.0,40.0,52.0,0.0,1.0,1.0,-11.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,RB,D.Lewis
2017090700,00-0031236,0.0,0.0,0.0,0.0,7.0,3.0,88.0,17.0,0.0,0.0,0.0,148.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017091705,00-0031236,2.0,6.0,0.0,0.0,4.0,2.0,37.0,9.0,0.0,0.0,0.0,45.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017092407,00-0031236,0.0,0.0,0.0,0.0,7.0,5.0,131.0,18.0,0.0,2.0,1.0,182.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017100107,00-0031236,1.0,4.0,0.0,0.0,6.0,3.0,37.0,1.0,0.0,0.0,0.0,91.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017100500,00-0031236,0.0,0.0,0.0,0.0,8.0,5.0,85.0,28.0,0.0,0.0,0.0,75.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017101505,00-0031236,0.0,0.0,0.0,0.0,9.0,6.0,93.0,8.0,0.0,0.0,0.0,99.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017102212,00-0031236,0.0,0.0,0.0,0.0,5.0,4.0,65.0,20.0,0.0,1.0,1.0,52.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017102903,00-0031236,0.0,0.0,0.0,0.0,8.0,5.0,26.0,3.0,0.0,0.0,0.0,72.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017111211,00-0031236,0.0,0.0,0.0,0.0,11.0,6.0,74.0,37.0,0.0,0.0,0.0,140.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017111909,00-0031236,0.0,0.0,0.0,0.0,9.0,6.0,149.0,40.0,0.0,1.0,1.0,180.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017112604,00-0031236,1.0,11.0,0.0,0.0,7.0,6.0,83.0,22.0,0.0,1.0,1.0,76.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017120302,00-0031236,1.0,11.0,0.0,0.0,3.0,2.0,17.0,3.0,0.0,0.0,0.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017121100,00-0031236,0.0,0.0,0.0,0.0,7.0,1.0,38.0,1.0,0.0,0.0,0.0,177.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017121709,00-0031236,0.0,0.0,0.0,0.0,7.0,4.0,60.0,-1.0,0.0,1.0,0.0,129.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017122404,00-0031236,1.0,6.0,0.0,0.0,5.0,2.0,19.0,5.0,0.0,0.0,0.0,84.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017123106,00-0031236,3.0,8.0,0.0,0.0,11.0,5.0,79.0,16.0,0.0,1.0,0.0,173.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NE,WR,B.Cooks
2017091000,00-0021206,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,26.0,188.0,207.0,89.0,4.0,2.0,1.0,0.0,2017,NYJ,QB,J.McCown
2017091709,00-0021206,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,17.0,166.0,167.0,100.0,0.0,0.0,2.0,2.0,2017,NYJ,QB,J.McCown
2017092408,00-0021206,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,18.0,249.0,246.0,164.0,3.0,0.0,1.0,0.0,2017,NYJ,QB,J.McCown
2017100108,00-0021206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,22.0,224.0,189.0,114.0,2.0,1.0,0.0,0.0,2017,NYJ,QB,J.McCown
2017100801,00-0021206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,23.0,196.0,112.0,89.0,4.0,1.0,2.0,1.0,2017,NYJ,QB,J.McCown
2017101505,00-0021206,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,31.0,355.0,430.0,203.0,6.0,2.0,3.0,1.0,2017,NYJ,QB,J.McCown
2017102206,00-0021206,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,17.0,217.0,201.0,71.0,1.0,1.0,3.0,3.0,2017,NYJ,QB,J.McCown
2017102905,00-0021206,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,26.0,257.0,233.0,153.0,3.0,0.0,2.0,1.0,2017,NYJ,QB,J.McCown
2017110200,00-0021206,2.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,140.0,126.0,75.0,3.0,0.0,1.0,1.0,2017,NYJ,QB,J.McCown
2017111205,00-0021206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,23.0,262.0,377.0,206.0,8.0,1.0,1.0,1.0,2017,NYJ,QB,J.McCown
2017112605,00-0021206,2.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,19.0,308.0,355.0,195.0,0.0,0.0,4.0,3.0,2017,NYJ,QB,J.McCown
2017120308,00-0021206,5.0,21.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,26.0,331.0,310.0,180.0,5.0,0.0,1.0,0.0,2017,NYJ,QB,J.McCown
2017121009,00-0021206,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,46.0,88.0,19.0,1.0,1.0,0.0,0.0,2017,NYJ,QB,J.McCown
2017091000,00-0026184,6.0,16.0,0.0,0.0,5.0,3.0,20.0,26.0,0.0,0.0,0.0,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017091709,00-0026184,9.0,53.0,0.0,0.0,4.0,4.0,38.0,29.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017092408,00-0026184,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017101505,00-0026184,9.0,22.0,0.0,0.0,8.0,8.0,59.0,38.0,0.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017102206,00-0026184,7.0,41.0,0.0,0.0,5.0,5.0,41.0,62.0,0.0,0.0,0.0,-21.0,-21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017102905,00-0026184,4.0,7.0,0.0,0.0,7.0,6.0,45.0,36.0,0.0,0.0,0.0,36.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017110200,00-0026184,14.0,77.0,0.0,2.0,4.0,4.0,19.0,15.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017112605,00-0026184,10.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017120308,00-0026184,15.0,58.0,0.0,0.0,3.0,3.0,33.0,23.0,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017121009,00-0026184,6.0,13.0,0.0,0.0,3.0,2.0,21.0,10.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017121705,00-0026184,7.0,24.0,0.0,0.0,5.0,2.0,10.0,5.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017122406,00-0026184,8.0,20.0,1.0,0.0,1.0,1.0,7.0,8.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,NYJ,RB,M.Forte
2017091000,00-0028112,0.0,0.0,0.0,0.0,9.0,4.0,59.0,24.0,1.0,1.0,0.0,47.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017091701,00-0028112,0.0,0.0,0.0,0.0,3.0,3.0,23.0,28.0,1.0,0.0,0.0,-5.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017092401,00-0028112,0.0,0.0,0.0,0.0,6.0,6.0,39.0,27.0,0.0,1.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017100101,00-0028112,0.0,0.0,0.0,0.0,7.0,5.0,112.0,33.0,0.0,0.0,0.0,113.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017100800,00-0028112,0.0,0.0,0.0,0.0,3.0,2.0,31.0,10.0,0.0,0.0,0.0,22.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017111200,00-0028112,0.0,0.0,0.0,0.0,3.0,2.0,13.0,5.0,0.0,0.0,0.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017111907,00-0028112,0.0,0.0,0.0,0.0,4.0,3.0,27.0,7.0,0.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017112603,00-0028112,0.0,0.0,0.0,0.0,4.0,4.0,60.0,22.0,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017120302,00-0028112,0.0,0.0,0.0,0.0,3.0,3.0,20.0,9.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017121000,00-0028112,0.0,0.0,0.0,0.0,5.0,2.0,11.0,7.0,0.0,0.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017121700,00-0028112,0.0,0.0,0.0,0.0,9.0,5.0,68.0,30.0,0.0,0.0,0.0,67.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017122404,00-0028112,0.0,0.0,0.0,0.0,10.0,4.0,37.0,27.0,0.0,0.0,0.0,80.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017123104,00-0028112,0.0,0.0,0.0,0.0,8.0,6.0,64.0,41.0,0.0,0.0,0.0,48.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,BUF,TE,C.Clay
2017091001,00-0029632,0.0,0.0,0.0,0.0,9.0,6.0,47.0,8.0,0.0,0.0,0.0,47.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017091713,00-0029632,0.0,0.0,0.0,0.0,6.0,5.0,85.0,25.0,0.0,0.0,0.0,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017092404,00-0029632,0.0,0.0,0.0,0.0,6.0,4.0,27.0,9.0,0.0,1.0,1.0,36.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017100101,00-0029632,1.0,4.0,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017102212,00-0029632,0.0,0.0,0.0,0.0,10.0,6.0,65.0,14.0,0.0,0.0,0.0,108.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017102905,00-0029632,0.0,0.0,0.0,0.0,7.0,6.0,74.0,18.0,0.0,1.0,0.0,64.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017110500,00-0029632,0.0,0.0,0.0,0.0,3.0,3.0,23.0,14.0,0.0,1.0,1.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017111209,00-0029632,0.0,0.0,0.0,0.0,5.0,3.0,29.0,5.0,0.0,0.0,0.0,41.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017112000,00-0029632,1.0,3.0,0.0,0.0,3.0,3.0,34.0,5.0,0.0,1.0,0.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017112600,00-0029632,0.0,0.0,0.0,0.0,9.0,8.0,64.0,29.0,0.0,0.0,0.0,41.0,35.0,1.0,1.0,51.0,51.0,51.0,0.0,0.0,1.0,1.0,2017,ATL,WR,M.Sanu
2017120300,00-0029632,0.0,0.0,0.0,0.0,5.0,3.0,54.0,5.0,0.0,0.0,0.0,58.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017120700,00-0029632,0.0,0.0,0.0,0.0,8.0,6.0,83.0,40.0,0.0,1.0,0.0,65.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017122405,00-0029632,0.0,0.0,0.0,0.0,6.0,4.0,31.0,11.0,0.0,0.0,0.0,46.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017123100,00-0029632,1.0,0.0,0.0,0.0,11.0,7.0,83.0,55.0,0.0,1.0,0.0,59.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,M.Sanu
2017091001,00-0031228,0.0,0.0,0.0,0.0,4.0,3.0,36.0,6.0,0.0,0.0,0.0,40.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,ATL,WR,T.Gabriel
